Coin ID,1st Move,2nd Move,3rd Move,4th Move,5th Move,Total (1stâ€“5th),Failure,Success,Total First Moves,SuccessRate,FailureRate
A,1929,2796,2562,2040,1972,11299,1091,838,1929,0.4344219803006739,0.5655780196993261
B,426,576,588,570,539,2699,309,117,426,0.2746478873239437,0.7253521126760564
C,588,715,732,663,596,3294,418,170,588,0.2891156462585034,0.7108843537414966
D,3544,3244,2589,2350,2177,13904,2214,1330,3544,0.3752821670428894,0.6247178329571106
E,265,387,414,414,398,1878,189,76,265,0.28679245283018867,0.7132075471698113
F,677,702,627,693,640,3339,483,194,677,0.2865583456425406,0.7134416543574594
G,393,587,580,540,516,2616,274,119,393,0.30279898218829515,0.6972010178117048
H,987,1273,1245,1127,1076,5708,658,329,987,0.3333333333333333,0.6666666666666666
I,562,1248,1399,1165,1049,5423,351,211,562,0.37544483985765126,0.6245551601423488
J,4947,2531,3044,2478,2169,15169,2975,1972,4947,0.39862542955326463,0.6013745704467354
